epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,17.0845,1.10419,3.62671,1.21265,0.01386,1,0.09338,0.08094,0.66642,3.92145,1.15998,4e-05,4e-05,4e-05
2,32.6619,0.99575,3.4511,1.07109,0.01569,1,0.18558,0.14728,0.90095,3.93423,1.22246,8.703e-05,8.703e-05,8.703e-05
3,48.5774,1.21888,3.04246,1.10395,0.01585,1,0.27086,0.18094,0.77586,3.99714,1.26607,0.00013076,0.00013076,0.00013076
4,64.3502,1.19103,2.27403,1.14656,0.01593,1,0.41246,0.13394,0.76591,3.98408,1.30473,0.00017119,0.00017119,0.00017119
5,80.1362,1.06653,2.05123,1.07642,0.01529,1,0.38971,0.22885,0.6956,3.81055,1.42957,0.00020832,0.00020832,0.00020832
6,95.6924,1.07715,2.31458,1.1168,0.0151,1,0.23954,0.18778,0.79352,3.73112,1.41972,0.00024215,0.00024215,0.00024215
7,111.563,1.30971,1.72417,1.29987,0.01417,1,0.39498,0.31037,0.84315,3.67956,1.56093,0.00027268,0.00027268,0.00027268
8,127.184,1.06033,1.45588,1.10267,0.01559,1,0.46433,0.32209,0.9731,3.58355,1.48724,0.00029991,0.00029991,0.00029991
9,142.86,1.01191,1.95905,1.10314,0.0182,1,0.54488,0.35583,1.01637,3.71496,1.46152,0.00032384,0.00032384,0.00032384
10,158.402,0.97433,1.42456,1.08027,0.01633,1,0.66333,0.46433,0.91303,3.58843,1.36916,0.00034447,0.00034447,0.00034447
11,174.093,1.09118,1.88215,1.17707,0.77657,0.33333,0.82917,0.58871,0.9222,3.43768,1.32727,0.0003618,0.0003618,0.0003618
12,190.579,1.04635,1.5619,1.05291,0.01181,1,0.82917,0.46986,0.99728,3.47954,1.41344,0.00037583,0.00037583,0.00037583
13,208.131,1.0413,1.40264,1.10336,0.01215,1,0.4975,0.33404,1.09958,3.57068,1.45303,0.00038656,0.00038656,0.00038656
14,225.817,1.11177,2.47876,1.20238,0.46043,0.45859,0.66333,0.41458,1.13829,3.40052,1.51468,0.00039399,0.00039399,0.00039399
15,244.006,1.00793,1.29254,1.05611,0.94025,0.33333,0.82917,0.64675,0.89393,3.19694,1.40371,0.00039812,0.00039812,0.00039812
16,262.903,0.92967,1.36281,1.0371,0.95937,0.33333,0.82917,0.63017,0.95502,3.28418,1.40355,0.00039895,0.00039895,0.00039895
17,281.748,0.98224,1.2923,1.07122,0.9656,0.33333,0.72967,0.51838,1.1244,3.27465,1.51867,0.00039648,0.00039648,0.00039648
18,300.048,0.92167,1.24877,1.05609,0.95176,0.33333,0.70479,0.53896,1.06668,3.24716,1.54044,0.00039071,0.00039071,0.00039071
19,318.303,1.01297,1.34246,1.03134,0.92958,0.33333,0.6671,0.53104,1.03193,3.23233,1.56492,0.00038164,0.00038164,0.00038164
20,336.52,0.90698,1.12242,1.03843,0.90949,0.33333,0.4975,0.38142,0.92166,3.20006,1.48261,0.00036927,0.00036927,0.00036927
21,355.468,1.00373,1.39364,1.0362,0.82751,0.33333,0.66715,0.53181,0.95257,3.17152,1.51614,0.00034,0.00034,0.00034
22,374.899,0.98666,1.98115,1.06123,0.82656,0.33333,0.6723,0.47165,0.91866,3.27468,1.38841,0.000307,0.000307,0.000307
23,393.881,0.94702,1.21798,0.98239,0.77252,0.33333,0.66333,0.40463,0.96802,3.52917,1.41269,0.000274,0.000274,0.000274
24,414.043,0.87686,1.4575,1.03417,0.06749,1,0.26533,0.16362,0.99242,3.755,1.52954,0.000241,0.000241,0.000241
25,432.742,0.8999,1.1816,1.03422,0.72098,0.33333,0.48092,0.28868,1.06166,3.60206,1.59691,0.000208,0.000208,0.000208
26,451.464,0.80353,1.1636,0.97727,0.73708,0.33333,0.52514,0.33242,1.07587,3.523,1.60538,0.000175,0.000175,0.000175
27,471.28,0.87675,1.91821,1.0362,0.82585,0.31836,0.60806,0.37921,1.06147,3.30733,1.58323,0.000142,0.000142,0.000142
28,490.071,0.80836,1.04421,0.97227,0.82707,0.33333,0.82917,0.61358,0.96379,3.31573,1.48805,0.000109,0.000109,0.000109
29,508.776,0.80894,1.4284,1.02018,0.72925,0.33333,0.82917,0.66333,0.90468,3.13357,1.40582,7.6e-05,7.6e-05,7.6e-05
30,527.442,0.91023,1.07012,1.02194,0.71834,0.66667,0.82917,0.6965,0.85753,3.16992,1.35285,4.3e-05,4.3e-05,4.3e-05
