epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,17.0681,1.10419,3.62671,1.21265,0.01386,1,0.09338,0.08094,0.66642,3.92145,1.15998,4e-05,4e-05,4e-05
2,32.9635,0.99303,3.47835,1.07106,0.01571,1,0.18315,0.144,0.88796,3.9275,1.20162,7.218e-05,7.218e-05,7.218e-05
3,48.846,1.1989,3.21123,1.10355,0.01752,1,0.21851,0.16517,0.78919,3.9975,1.18793,8.456e-05,8.456e-05,8.456e-05
4,64.5611,1.14503,2.62183,1.13853,0.0173,1,0.27086,0.17975,0.74951,3.94045,1.20088,7.714e-05,7.714e-05,7.714e-05
5,80.3422,1.0587,2.46301,1.07834,0.01756,1,0.47237,0.24222,0.72568,3.86911,1.2397,4.992e-05,4.992e-05,4.992e-05
